"270,275;""129"";""27 เม.ย.2015 07:00"";""7.7"";""5.6"";""182.0"";""30.7"";""71.0"";""ปกติ"""
"270,394;""129"";""27 เม.ย.2015 08:00"";""7.7"";""5.4"";""181.0"";""31.0"";""75.0"";""ปกติ"""
"270,514;""129"";""27 เม.ย.2015 09:00"";""7.8"";""5.5"";""181.0"";""31.3"";""75.0"";""ปกติ"""
"270,634;""129"";""27 เม.ย.2015 10:00"";""7.8"";""5.6"";""181.0"";""31.8"";""78.0"";""ปกติ"""
"270,755;""129"";""27 เม.ย.2015 11:00"";""7.8"";""5.6"";""181.0"";""32.0"";""76.0"";""ปกติ"""
"270,875;""129"";""27 เม.ย.2015 12:00"";""7.8"";""5.5"";""180.0"";""32.1"";""84.0"";""ปกติ"""
"270,996;""129"";""27 เม.ย.2015 13:00"";""7.8"";""5.6"";""180.0"";""32.4"";""83.0"";""ปกติ"""
"271,120;""129"";""27 เม.ย.2015 14:00"";""7.8"";""5.7"";""180.0"";""32.5"";""86.0"";""ปกติ"""
"271,241;""129"";""27 เม.ย.2015 15:00"";""7.8"";""5.6"";""180.0"";""32.4"";""91.0"";""ปกติ"""
"271,362;""129"";""27 เม.ย.2015 16:00"";""7.8"";""5.6"";""181.0"";""32.2"";""92.0"";""ปกติ"""
"271,480;""129"";""27 เม.ย.2015 17:00"";""7.8"";""5.6"";""181.0"";""31.9"";""95.0"";""ปกติ"""
"271,597;""129"";""27 เม.ย.2015 18:00"";""7.8"";""5.7"";""182.0"";""31.6"";""99.0"";""ปกติ"""
"271,717;""129"";""27 เม.ย.2015 19:00"";""7.8"";""5.9"";""183.0"";""31.4"";""105.0"";""ปกติ"""
"271,840;""129"";""27 เม.ย.2015 20:00"";""7.8"";""6.0"";""184.0"";""31.2"";""104.0"";""ปกติ"""
"271,958;""129"";""27 เม.ย.2015 21:00"";""7.8"";""6.0"";""184.0"";""31.2"";""94.0"";""ปกติ"""
"272,077;""129"";""27 เม.ย.2015 22:00"";""7.8"";""6.0"";""185.0"";""31.3"";""94.0"";""ปกติ"""
"272,195;""129"";""27 เม.ย.2015 23:00"";""7.8"";""6.1"";""185.0"";""31.3"";""89.0"";""ปกติ"""
"272,313;""129"";""28 เม.ย.2015 00:00"";""7.8"";""6.0"";""185.0"";""31.2"";""87.0"";""ปกติ"""
"272,433;""129"";""28 เม.ย.2015 01:00"";""7.8"";""6.0"";""185.0"";""31.2"";""84.0"";""ปกติ"""
"272,551;""129"";""28 เม.ย.2015 02:00"";""7.8"";""5.9"";""185.0"";""31.1"";""81.0"";""ปกติ"""
