"199,666";"109";"2 เม.ย.2015 11:00";"6.6";"7.2";"248.8";"31.1";"-";"ปกติ"
"199,725";"109";"2 เม.ย.2015 11:30";"6.6";"7.1";"249.0";"31.2";"-";"ปกติ"
"199,776";"109";"2 เม.ย.2015 12:00";"6.5";"7.0";"249.3";"31.2";"-";"ปกติ"
"199,835";"109";"2 เม.ย.2015 12:30";"6.5";"6.7";"249.7";"31.1";"-";"ปกติ"
"199,887";"109";"2 เม.ย.2015 13:00";"6.5";"6.7";"249.6";"31.2";"-";"ปกติ"
"199,947";"109";"2 เม.ย.2015 13:30";"6.4";"6.6";"249.5";"31.2";"-";"ปกติ"
"199,998";"109";"2 เม.ย.2015 14:00";"6.7";"8.0";"248.6";"32.0";"-";"ปกติ"
"200,057";"109";"2 เม.ย.2015 14:30";"6.8";"8.9";"247.6";"31.9";"-";"ปกติ"
"200,109";"109";"2 เม.ย.2015 15:00";"6.9";"9.2";"247.3";"32.2";"-";"ปกติ"
"200,169";"109";"2 เม.ย.2015 15:30";"6.9";"9.2";"247.1";"32.2";"-";"ปกติ"
"200,221";"109";"2 เม.ย.2015 16:00";"6.9";"9.6";"246.3";"32.1";"-";"ปกติ"
"200,281";"109";"2 เม.ย.2015 16:30";"6.9";"9.5";"246.2";"32.1";"-";"ปกติ"
"200,333";"109";"2 เม.ย.2015 17:00";"6.9";"9.7";"246.1";"32.1";"-";"ปกติ"
"200,392";"109";"2 เม.ย.2015 17:30";"6.8";"9.1";"246.7";"32.0";"-";"ปกติ"
"200,443";"109";"2 เม.ย.2015 18:00";"6.8";"9.1";"247.1";"32.1";"-";"ปกติ"
"200,504";"109";"2 เม.ย.2015 18:30";"6.8";"8.8";"248.0";"32.0";"-";"ปกติ"
"200,557";"109";"2 เม.ย.2015 19:00";"6.7";"8.6";"248.4";"31.7";"-";"ปกติ"
"200,619";"109";"2 เม.ย.2015 19:30";"6.8";"8.4";"248.4";"31.7";"-";"ปกติ"
"200,672";"109";"2 เม.ย.2015 20:00";"7.0";"10.0";"247.0";"32.1";"-";"ปกติ"
"200,733";"109";"2 เม.ย.2015 20:30";"7.0";"10.0";"246.5";"32.4";"-";"ปกติ"
"200,786";"109";"2 เม.ย.2015 21:00";"6.9";"9.7";"246.7";"32.1";"-";"ปกติ"
"200,848";"109";"2 เม.ย.2015 21:30";"6.9";"9.3";"247.1";"32.1";"-";"ปกติ"
"200,902";"109";"2 เม.ย.2015 22:00";"6.8";"8.8";"247.2";"32.0";"-";"ปกติ"
"200,964";"109";"2 เม.ย.2015 22:30";"6.9";"9.1";"247.6";"32.0";"-";"ปกติ"
"201,018";"109";"2 เม.ย.2015 23:00";"7.0";"9.4";"246.8";"32.0";"-";"ปกติ"
"201,080";"109";"2 เม.ย.2015 23:30";"6.8";"8.4";"248.1";"31.8";"-";"ปกติ"
"201,133";"109";"3 เม.ย.2015 00:00";"6.8";"8.3";"248.3";"31.7";"-";"ปกติ"
"201,195";"109";"3 เม.ย.2015 00:30";"6.8";"8.7";"247.6";"31.6";"-";"ปกติ"
"201,249";"109";"3 เม.ย.2015 01:00";"F";"F";"F";"F";"-";"-"
"201,311";"109";"3 เม.ย.2015 01:30";"6.7";"8.0";"247.9";"31.3";"-";"ปกติ"
"201,365";"109";"3 เม.ย.2015 02:00";"6.6";"7.6";"248.0";"31.2";"-";"ปกติ"
"201,427";"109";"3 เม.ย.2015 02:30";"6.5";"7.3";"248.2";"31.0";"-";"ปกติ"
"201,481";"109";"3 เม.ย.2015 03:00";"6.4";"7.0";"248.4";"30.9";"-";"ปกติ"
"201,543";"109";"3 เม.ย.2015 03:30";"6.4";"6.8";"248.4";"30.8";"-";"ปกติ"
"201,597";"109";"3 เม.ย.2015 04:00";"6.4";"7.0";"248.1";"30.8";"-";"ปกติ"
"201,659";"109";"3 เม.ย.2015 04:30";"6.4";"7.3";"248.0";"30.8";"-";"ปกติ"
"201,713";"109";"3 เม.ย.2015 05:00";"6.4";"7.1";"248.3";"30.7";"-";"ปกติ"
"201,775";"109";"3 เม.ย.2015 05:30";"6.4";"7.2";"248.3";"30.7";"-";"ปกติ"
"201,827";"109";"3 เม.ย.2015 06:00";"6.4";"7.2";"248.4";"30.7";"-";"ปกติ"
"201,889";"109";"3 เม.ย.2015 06:30";"F";"F";"F";"F";"-";"-"
"201,943";"109";"3 เม.ย.2015 07:00";"6.4";"7.4";"248.2";"30.6";"-";"ปกติ"
"202,005";"109";"3 เม.ย.2015 07:30";"6.5";"7.5";"248.0";"30.6";"-";"ปกติ"
"202,059";"109";"3 เม.ย.2015 08:00";"6.5";"7.5";"247.9";"30.7";"-";"ปกติ"
"202,121";"109";"3 เม.ย.2015 08:30";"6.5";"7.4";"247.8";"30.7";"-";"ปกติ"
"202,175";"109";"3 เม.ย.2015 09:00";"6.5";"7.5";"247.5";"30.8";"-";"ปกติ"
"202,236";"109";"3 เม.ย.2015 09:30";"6.5";"7.7";"247.4";"31.0";"-";"ปกติ"
