หมายเลข,วันที่-เวลา,DO,EC,T,Tb,สถานะ
111,3 เม.ย.2015 20:30,5.5,177.5,32.7,-,ปกติ
111,3 เม.ย.2015 21:00,5.5,178.0,32.3,-,ปกติ
111,3 เม.ย.2015 21:30,5.5,178.2,32.0,-,ปกติ
111,3 เม.ย.2015 22:00,5.4,178.2,31.8,-,ปกติ
111,3 เม.ย.2015 22:30,5.5,178.2,31.5,-,ปกติ
111,3 เม.ย.2015 23:00,5.5,178.3,31.3,-,ปกติ
111,3 เม.ย.2015 23:30,5.3,178.5,30.9,-,ปกติ
111,4 เม.ย.2015 00:00,5.2,178.5,30.6,-,ปกติ
111,4 เม.ย.2015 00:30,5.5,178.4,30.2,-,ปกติ
111,4 เม.ย.2015 01:00,5.5,178.2,30.0,-,ปกติ
111,4 เม.ย.2015 01:30,5.5,178.0,29.9,-,ปกติ
111,4 เม.ย.2015 02:00,5.5,178.1,29.6,-,ปกติ
111,4 เม.ย.2015 02:30,5.4,178.2,29.3,-,ปกติ
111,4 เม.ย.2015 03:00,5.5,178.3,29.0,-,ปกติ
111,4 เม.ย.2015 03:30,5.5,178.5,28.7,-,ปกติ
111,4 เม.ย.2015 04:00,5.5,178.3,28.4,-,ปกติ
111,4 เม.ย.2015 04:30,5.3,178.1,28.2,-,ปกติ
111,4 เม.ย.2015 05:00,4.9,177.9,28.1,-,ปกติ
111,4 เม.ย.2015 05:30,4.7,177.9,27.9,-,ปกติ
111,4 เม.ย.2015 06:00,4.6,177.6,27.8,-,ปกติ
111,4 เม.ย.2015 06:30,4.8,177.5,27.6,-,ปกติ
111,4 เม.ย.2015 07:00,4.7,177.3,27.5,-,ปกติ
111,4 เม.ย.2015 07:30,4.7,176.9,27.5,-,ปกติ
111,4 เม.ย.2015 08:00,4.9,176.2,27.7,-,ปกติ
111,4 เม.ย.2015 08:30,4.8,175.6,28.0,-,ปกติ
111,4 เม.ย.2015 09:00,5.0,175.6,28.6,-,ปกติ
111,4 เม.ย.2015 09:30,5.6,180.7,29.0,-,ปกติ
111,4 เม.ย.2015 10:00,5.6,178.6,29.3,-,ปกติ
111,4 เม.ย.2015 10:30,5.3,182.9,29.7,-,ปกติ
111,4 เม.ย.2015 11:00,5.4,186.7,30.2,-,ปกติ
111,4 เม.ย.2015 11:30,5.4,187.0,30.7,-,ปกติ
111,4 เม.ย.2015 12:00,5.4,186.6,31.1,-,ปกติ
111,4 เม.ย.2015 12:30,5.4,177.9,31.5,-,ปกติ
111,4 เม.ย.2015 13:00,5.4,174.9,31.8,-,ปกติ
111,4 เม.ย.2015 13:30,5.4,174.3,32.1,-,ปกติ
111,4 เม.ย.2015 14:00,5.4,174.2,32.4,-,ปกติ
111,4 เม.ย.2015 14:30,F,F,F,-,-
111,4 เม.ย.2015 15:00,5.3,173.9,33.2,-,ปกติ
111,4 เม.ย.2015 15:30,5.2,173.9,33.8,-,ปกติ
111,4 เม.ย.2015 16:00,5.2,173.9,34.4,-,ปกติ
111,4 เม.ย.2015 16:30,5.2,174.8,34.4,-,ปกติ
111,4 เม.ย.2015 17:00,5.1,175.6,34.4,-,ปกติ
111,4 เม.ย.2015 17:30,5.1,176.6,34.3,-,ปกติ
111,4 เม.ย.2015 18:00,5.2,177.5,34.2,-,ปกติ
111,4 เม.ย.2015 18:30,5.2,178.9,33.7,-,ปกติ
111,4 เม.ย.2015 19:00,5.2,180.1,33.1,-,ปกติ
111,4 เม.ย.2015 19:30,5.2,181.0,32.7,-,ปกติ
111,4 เม.ย.2015 20:00,5.1,181.2,32.3,-,ปกติ
111,4 เม.ย.2015 20:30,5.2,181.7,31.9,-,ปกติ
111,4 เม.ย.2015 21:00,5.1,182.5,31.5,-,ปกติ
111,4 เม.ย.2015 21:30,5.2,182.5,31.1,-,ปกติ
111,4 เม.ย.2015 22:00,5.2,182.6,30.7,-,ปกติ
111,4 เม.ย.2015 22:30,5.2,182.6,30.4,-,ปกติ
111,4 เม.ย.2015 23:00,5.2,182.3,30.2,-,ปกติ
111,4 เม.ย.2015 23:30,5.2,182.1,30.0,-,ปกติ
111,5 เม.ย.2015 00:00,5.2,182.3,29.8,-,ปกติ
111,5 เม.ย.2015 00:30,5.2,182.6,29.4,-,ปกติ
111,5 เม.ย.2015 01:00,5.1,182.5,29.0,-,ปกติ
111,5 เม.ย.2015 01:30,5.2,182.6,28.7,-,ปกติ
111,5 เม.ย.2015 02:00,5.2,182.3,28.5,-,ปกติ
111,5 เม.ย.2015 02:30,5.2,182.6,28.2,-,ปกติ
111,5 เม.ย.2015 03:00,5.2,182.4,28.0,-,ปกติ
111,5 เม.ย.2015 03:30,4.9,181.9,27.7,-,ปกติ
111,5 เม.ย.2015 04:00,4.7,181.7,27.5,-,ปกติ
111,5 เม.ย.2015 04:30,4.6,181.5,27.3,-,ปกติ
111,5 เม.ย.2015 05:00,4.4,181.2,27.1,-,ปกติ
111,5 เม.ย.2015 05:30,4.3,180.8,27.0,-,ปกติ
111,5 เม.ย.2015 06:00,4.3,180.9,26.9,-,ปกติ
111,5 เม.ย.2015 06:30,4.2,180.2,26.9,-,ปกติ
111,5 เม.ย.2015 07:00,4.2,179.7,26.8,-,ปกติ
111,5 เม.ย.2015 07:30,4.2,179.0,27.0,-,ปกติ
111,5 เม.ย.2015 08:00,4.4,178.2,27.3,-,ปกติ
111,5 เม.ย.2015 08:30,4.2,177.0,27.7,-,ปกติ
111,5 เม.ย.2015 09:00,5.0,175.7,28.5,-,ปกติ
111,5 เม.ย.2015 09:30,5.0,175.0,29.1,-,ปกติ
111,5 เม.ย.2015 10:00,4.6,174.8,29.5,-,ปกติ
111,5 เม.ย.2015 10:30,5.2,174.7,29.9,-,ปกติ
111,5 เม.ย.2015 11:00,4.9,174.6,30.3,-,ปกติ
111,5 เม.ย.2015 11:30,5.1,174.3,30.8,-,ปกติ
111,5 เม.ย.2015 12:00,5.4,174.3,31.3,-,ปกติ
111,5 เม.ย.2015 12:30,5.4,174.4,31.7,-,ปกติ
111,5 เม.ย.2015 13:00,5.4,174.5,32.1,-,ปกติ
111,5 เม.ย.2015 13:30,5.4,175.1,32.5,-,ปกติ
111,5 เม.ย.2015 14:00,5.5,175.2,32.8,-,ปกติ
111,5 เม.ย.2015 14:30,5.4,175.3,33.1,-,ปกติ
111,5 เม.ย.2015 15:00,5.2,175.3,33.6,-,ปกติ
111,5 เม.ย.2015 15:30,5.1,175.4,34.2,-,ปกติ
111,5 เม.ย.2015 16:00,5.1,176.0,34.4,-,ปกติ
111,5 เม.ย.2015 16:30,5.1,176.3,34.8,-,ปกติ
111,5 เม.ย.2015 17:00,5.0,177.0,34.9,-,ปกติ
111,5 เม.ย.2015 17:30,5.0,178.1,34.7,-,ปกติ
111,5 เม.ย.2015 18:00,5.1,179.3,34.4,-,ปกติ
111,5 เม.ย.2015 18:30,5.1,180.5,34.0,-,ปกติ
111,5 เม.ย.2015 19:00,5.1,181.8,33.5,-,ปกติ
111,5 เม.ย.2015 19:30,5.1,182.8,33.0,-,ปกติ
111,5 เม.ย.2015 20:00,5.1,183.2,32.6,-,ปกติ
111,5 เม.ย.2015 20:30,5.1,183.6,32.2,-,ปกติ
111,5 เม.ย.2015 21:00,5.2,183.9,31.9,-,ปกติ
111,5 เม.ย.2015 21:30,5.1,183.8,31.5,-,ปกติ
111,5 เม.ย.2015 22:00,5.2,184.0,31.2,-,ปกติ
111,5 เม.ย.2015 22:30,5.2,183.7,31.0,-,ปกติ
111,5 เม.ย.2015 23:00,5.2,183.8,30.7,-,ปกติ
111,5 เม.ย.2015 23:30,5.2,183.8,30.5,-,ปกติ
111,6 เม.ย.2015 00:00,5.2,183.6,30.3,-,ปกติ
111,6 เม.ย.2015 00:30,5.1,183.3,30.0,-,ปกติ
111,6 เม.ย.2015 01:00,5.1,183.1,29.9,-,ปกติ
111,6 เม.ย.2015 01:30,5.0,182.7,29.7,-,ปกติ
111,6 เม.ย.2015 02:00,4.8,182.6,29.5,-,ปกติ
111,6 เม.ย.2015 02:30,4.7,182.7,29.3,-,ปกติ
111,6 เม.ย.2015 03:00,4.5,182.6,29.1,-,ปกติ
111,6 เม.ย.2015 03:30,4.4,182.8,28.9,-,ปกติ
111,6 เม.ย.2015 04:00,4.2,182.6,28.7,-,ปกติ
111,6 เม.ย.2015 04:30,4.3,182.5,28.5,-,ปกติ
111,6 เม.ย.2015 05:00,4.2,182.4,28.4,-,ปกติ
111,6 เม.ย.2015 05:30,4.3,182.0,28.2,-,ปกติ
111,6 เม.ย.2015 06:00,4.6,181.8,28.1,-,ปกติ
111,6 เม.ย.2015 06:30,4.6,181.7,28.0,-,ปกติ
111,6 เม.ย.2015 07:00,4.3,181.5,27.9,-,ปกติ
111,6 เม.ย.2015 07:30,4.4,181.1,28.0,-,ปกติ
111,6 เม.ย.2015 08:00,4.4,180.6,28.2,-,ปกติ
111,6 เม.ย.2015 08:30,4.4,179.6,28.5,-,ปกติ
111,6 เม.ย.2015 09:00,4.8,178.6,29.1,-,ปกติ
111,6 เม.ย.2015 09:30,5.4,178.2,29.6,-,ปกติ
111,6 เม.ย.2015 10:00,5.1,177.5,30.0,-,ปกติ
111,6 เม.ย.2015 10:30,5.5,177.9,30.3,-,ปกติ
111,6 เม.ย.2015 11:00,5.2,177.6,30.7,-,ปกติ
111,6 เม.ย.2015 11:30,5.5,177.3,31.1,-,ปกติ
111,6 เม.ย.2015 12:00,5.6,177.2,31.5,-,ปกติ
111,6 เม.ย.2015 12:30,5.5,177.1,32.0,-,ปกติ
111,6 เม.ย.2015 13:00,5.6,177.0,32.5,-,ปกติ
111,6 เม.ย.2015 13:30,5.6,176.8,32.7,-,ปกติ
111,6 เม.ย.2015 14:00,5.5,176.6,33.2,-,ปกติ
111,6 เม.ย.2015 14:30,5.4,176.5,33.7,-,ปกติ
111,6 เม.ย.2015 15:00,5.5,176.4,34.2,-,ปกติ
111,6 เม.ย.2015 15:30,5.4,176.4,34.7,-,ปกติ
111,6 เม.ย.2015 16:00,5.4,176.5,35.1,-,ปกติ
111,6 เม.ย.2015 16:30,5.3,177.4,35.2,-,ปกติ
111,6 เม.ย.2015 17:00,5.4,178.5,35.4,-,ปกติ
111,6 เม.ย.2015 17:30,5.4,179.8,35.3,-,ปกติ
111,6 เม.ย.2015 18:00,5.4,179.7,35.2,-,ปกติ
111,6 เม.ย.2015 18:30,5.4,181.5,34.8,-,ปกติ
111,6 เม.ย.2015 19:00,5.4,183.6,34.3,-,ปกติ
111,6 เม.ย.2015 19:30,5.4,184.6,33.9,-,ปกติ
111,6 เม.ย.2015 20:00,5.4,185.2,33.5,-,ปกติ
111,6 เม.ย.2015 20:30,5.4,185.8,33.3,-,ปกติ
111,6 เม.ย.2015 21:00,5.3,185.8,32.9,-,ปกติ
111,6 เม.ย.2015 21:30,5.4,185.7,32.5,-,ปกติ
111,6 เม.ย.2015 22:00,5.3,186.7,32.1,-,ปกติ
